"Row","siLucSusp_1","siLucSusp_2","siLucSusp_3","siLucSusp_4","siLucSusp_5","siEzrSusp_1","siEzrSusp_2","siEzrSusp_3","siEzrSusp_4","siEzrSusp_5","si4ESusp_1","si4ESusp_2","si4ESusp_3","si4ESusp_4","si4ESusp_5","siLucInv_1","siLucInv_2","siLucInv_3","siLucInv_4","siLucInv_5","siEzrInv_1","siEzrInv_2","siEzrInv_3","siEzrInv_4","siEzrInv_5","si4EInv_1","si4EInv_2","si4EInv_3","si4EInv_4","si4EInv_5","row_id_1","row_id_2","row_id_3","row_id_4","row_id_5"
"Row","siLucSusp","","","","","siEzrSusp","","","","","si4ESusp","","","","","siLucInv","","","","","siEzrInv","","","","","si4EInv","","","","","row_id","","","",""
"CD44","1","1","1","1","1","0.597434903995318","0.600476984031516","1.13847567182519","0.685595699715799","0.70275696890198","0.386528498671396","0.491410161596655","0.577248566365564","0.409192885235672",,"1","1","1","1",,"0.438155338110844","0.434794113562175","0.837880934131617","0.639995180008631",,"0.15678568137779","0.385300901222542","0.596062446314719","0.558740695450753",,"1","2","3","4","5"
"Ezrin","1","1","1","1",,"0.0169993688418071",,"0.0302346227352548","0.001",,"0.330047784990026","0.632327098952581","0.595145847310868","0.562517746887241",,"1","1","1","1",,"0.0310120057385364","0.00909495085752518","0.1093147094138","0.0812171419152713",,"0.309059963903299","0.909775511696564","0.791745341070035","0.821107664765276",,"1","2","3","4",
"HAS3",,,,,,,,,,,,,,,,"1","1","1",,,"0.736495645959085","0.912114082398759","0.818769267818182",,,"0.577577513325356","0.630987375244596","0.624682879107741",,,"1","2","3",,
"Hx2","1",,,,,"0.973274895287593",,,,,"0.630238713144775",,,,,"1",,,,,"1.07373289493182",,,,,"0.662073088203666",,,,,"1",,,,
"Mcl1","1","1","1","1",,"0.614549082084103","0.198369844828013","0.464146710854738","0.269320496619539",,,"0.441690654709868","0.589536148458606","0.56251277540313",,"1","1","1","1",,"1.04283608002589","0.836203982379659","1.02907622330389","1.12524468467986",,"0.96182372098266","0.77998655530462","0.719768981298717","0.888250161514641",,"1","2","3","4",
"PGM5","1","1","1","1",,"0.628708142158347","0.341009887172694","0.573754879168537","0.519852678773393",,,"0.372845931806845","0.544329384427249","0.942014917200758",,"1","1","1",,,"0.376709149475229","0.903859038689001","0.864245783479253",,,"0.0883616322482775","0.167005630100439","0.658393625223946",,,"1","2","3","4",
"UAP1","1",,,,,"0.668892121723213",,,,,"0.487025356331375",,,,,"1",,,,,"0.236584427672673",,,,,"0.0844568272000945",,,,,"1",,,,
"UGDH","1","1","1",,,"1.08359523880784","0.0658267087452908","1.09718965361163",,,"0.310257016664846","0.100821683330962","0.754276945626694",,,"1","1","1",,,"0.943378979112459","0.779884477320363","0.883270373006112",,,"0.182937868543174","0.336401146883401","0.637284363360347",,,"1","2","3",,
"eIF4E","1","1","1","1","1","0.677613037646624","0.745898696722122","0.880192039638222","1.09037445045719","0.86010748163357","0.509888700718357","0.19397711990259","0.231247142285349","0.429763898276007","0.259510129594734","1","1","1","1",,"0.84924538277465","1.05954902537852","1.13239422314345","0.974765474120591",,"0.27730570572629","0.352942271534369","0.312967791260659","0.328099944834482",,"1","2","3","4","5"
