"Row","GeneID","geneSymbol"
"JC list_4E interaction proteins.csv~1.1","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.2","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.3","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.4","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.5","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.6","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.7","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.8","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.9","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.10","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.11","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.12","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.13","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.14","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.15","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.16","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.17","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.18","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.19","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.20","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.21","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.22","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.23","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.24","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.25","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.26","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.27","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.28","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.29","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.30","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.31","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.32","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.33","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.34","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.35","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.36","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.37","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.38","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.39","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.40","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.41","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.42","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.43","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.44","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.45","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.46","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.47","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.48","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.49","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.50","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.51","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.52","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.53","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.54","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.55","P06730","eIF4E"
"JC list_4E interaction proteins.csv~1.56","O75533","SF3B1"
"JC list_4E interaction proteins.csv~1.57","O94906","PRP6"
"JC list_4E interaction proteins.csv~1.58","Q6P2Q9","PRP8"
"JC list_4E interaction proteins.csv~1.59","P26368","U2AF2"
"JC list_4E interaction proteins.csv~1.60","Q9UMS4","PRP19"
"JC list_4E interaction proteins.csv~1.61","Q01081","U2AF1"
"JC list_4E interaction proteins.csv~1.62","O75643","SnRNP200"
"JC list_4E interaction proteins.csv~1.63","Q8WWY3","PRP31"
"JC list_4E interaction proteins.csv~1.64","Q13541","4EBP1"
"JC list_4E interaction proteins.csv~1.65","Q15717","ELAVL1"
"JC list_4E interaction proteins.csv~1.66","Q9BTL3 ","RNMT"
"JC list_4E interaction proteins.csv~1.67","Q9BTL3 ","RNMT "
"JC list_4E interaction proteins.csv~1.68","Q9BTL3 ","RNMT"
"JC list_4E interaction proteins.csv~1.69","Q9BTL3 ","RNMT"
"JC list_4E interaction proteins.csv~1.70","P42704","LRPPRC"
"JC list_4E interaction proteins.csv~1.71","Q10570","CPSF1"
"JC list_4E interaction proteins.csv~1.72","Q9UKF6","CPSF3"
"JC list_4E interaction proteins.csv~1.73","Q60953","PML "
"JC list_4E interaction proteins.csv~1.74","P18541","Z_LYCVA"
"JC list_4E interaction proteins.csv~1.75","Q60953","PML "
"JC list_4E interaction proteins.csv~1.76","P18541","Z_LYCVA"
"JC list_4E interaction proteins.csv~1.77","Q60953","PML "
"JC list_4E interaction proteins.csv~1.78","P18541","Z_LYCVA"
"JC list_4E interaction proteins.csv~1.79","Q60953","PML"
"JC list_4E interaction proteins.csv~1.80","P18541","Z_LYCVA"
"JC list_4E interaction proteins.csv~1.81","P18541","Z_LYCVA"
"JC list_4E interaction proteins.csv~1.82","Q60953","PML"
"JC list_4E interaction proteins.csv~1.83","Q60953","PML"
"JC list_4E interaction proteins.csv~1.84","Q60953","PML"
"JC list_4E interaction proteins.csv~1.85","Q03014","HHEX"
"JC list_4E interaction proteins.csv~1.86","Q60953","PML"
"JC list_4E interaction proteins.csv~1.87","Q03014","HHEX"
"JC list_4E interaction proteins.csv~1.88","Q03014","HHEX"
"JC list_4E interaction proteins.csv~1.89","O73557","Z_LASSJ"
"JC list_4E interaction proteins.csv~1.90","O73557","Z_LASSJ"
"JC list_4E interaction proteins.csv~1.91","O73557","Z_LASSJ"
"JC list_4E interaction proteins.csv~1.92","P18247","POLG_PVYN"
"JC list_4E interaction proteins.csv~1.93","P18247","POLG_PVYN"
"JC list_4E interaction proteins.csv~1.94","IPO8","Importin 8"
"JC list_4E interaction proteins.csv~1.95","IPO8","Importin 8"
"JC list_4E interaction proteins.csv~1.96","IPO8","Importin 8"
"JC list_4E interaction proteins.csv~1.97","P42704 ","LRPPRC"
"JC list_4E interaction proteins.csv~1.98","P42704 ","LRPPRC"
"JC list_4E interaction proteins.csv~1.99","P42704 ","LRPPRC"
"JC list_4E interaction proteins.csv~1.100","P42704 ","LRPPRC"
"JC list_4E interaction proteins.csv~1.101","P30822","CRM1"
"JC list_4E interaction proteins.csv~1.102","P30822","CRM1"
"JC list_4E interaction proteins.csv~1.103","IPO8","Importin 8"
"JC list_4E interaction proteins.csv~1.104","IPO8","Importin 8"
"JC list_4E interaction proteins.csv~1.105","P42704 ","LRPPRC"
"JC list_4E interaction proteins.csv~1.106","P09651","hnRNPA1"
"JC list_4E interaction proteins.csv~1.107","P30822","CRM1"
"JC list_4E interaction proteins.csv~1.108","Q5RE47","UAP56 "
"JC list_4E interaction proteins.csv~1.109","P29590","PML"
"JC list_4E interaction proteins.csv~1.110","P42704 ","LRPPRC"
